CBS code,Naam,Name,Value
397,Heemstede,blanco stemmen,18
246,Heerde,blanco stemmen,13
74,Heerenveen,blanco stemmen,37
398,Heerhugowaard,blanco stemmen,35
917,Heerlen,blanco stemmen,141
1658,Heeze-Leende,blanco stemmen,15
399,Heiloo,blanco stemmen,12
163,Hellendoorn,blanco stemmen,30
530,Hellevoetsluis,blanco stemmen,41
794,Helmond,blanco stemmen,108
531,Hendrik-Ido-Ambacht,blanco stemmen,16
164,Hengelo,blanco stemmen,90
63,Het Bildt,blanco stemmen,10
252,Heumen,blanco stemmen,21
797,Heusden,blanco stemmen,37
534,Hillegom,blanco stemmen,11
798,Hilvarenbeek,blanco stemmen,14
402,Hilversum,blanco stemmen,81
1735,Hof van Twente,blanco stemmen,33
1911,Hollands Kroon,blanco stemmen,44
118,Hoogeveen,blanco stemmen,65
18,Hoogezand-Sappemeer,blanco stemmen,24
405,Hoorn,blanco stemmen,72
1507,Horst aan de Maas,blanco stemmen,70
321,Houten,blanco stemmen,34
406,Huizen,blanco stemmen,24
677,Hulst,blanco stemmen,14
353,IJsselstein,blanco stemmen,26
1884,Kaag en Braassem,blanco stemmen,27
166,Kampen,blanco stemmen,38
678,Kapelle,blanco stemmen,7
537,Katwijk,blanco stemmen,44
928,Kerkrade,blanco stemmen,68
1598,Koggenland,blanco stemmen,28
79,Kollumerland en Nieuwkruisland,blanco stemmen,16
588,Korendijk,blanco stemmen,3
542,Krimpen aan den IJssel,blanco stemmen,16
1659,Laarbeek,blanco stemmen,12
1685,Landerd,blanco stemmen,10
882,Landgraaf,blanco stemmen,58
415,Landsmeer,blanco stemmen,13
416,Langedijk,blanco stemmen,16
1621,Lansingerland,blanco stemmen,48
417,Laren,blanco stemmen,4
22,Leek,blanco stemmen,21
545,Leerdam,blanco stemmen,13
80,Leeuwarden,blanco stemmen,96
81,Leeuwarderadeel,blanco stemmen,4
546,Leiden,blanco stemmen,174
547,Leiderdorp,blanco stemmen,30
1916,Leidschendam-Voorburg,blanco stemmen,62
995,Lelystad,blanco stemmen,62
82,Lemsterland,blanco stemmen,12
1640,Leudal,blanco stemmen,55
327,Leusden,blanco stemmen,29
694,Liesveld,blanco stemmen,8
733,Lingewaal,blanco stemmen,6
1705,Lingewaard,blanco stemmen,37
553,Lisse,blanco stemmen,16
140,Littenseradiel,blanco stemmen,7
262,Lochem,blanco stemmen,28
809,Loon op Zand,blanco stemmen,14
331,Lopik,blanco stemmen,10
24,Loppersum,blanco stemmen,10
168,Losser,blanco stemmen,28
1671,Maasdonk,blanco stemmen,9
263,Maasdriel,blanco stemmen,18
1641,Maasgouw,blanco stemmen,40
556,Maassluis,blanco stemmen,38
935,Maastricht,blanco stemmen,150
25,Marum,blanco stemmen,1
420,Medemblik,blanco stemmen,29
938,Meerssen,blanco stemmen,25
1908,Menameradiel,blanco stemmen,10
1987,Menterwolde,blanco stemmen,6
119,Meppel,blanco stemmen,24
687,Middelburg,blanco stemmen,43
559,Middelharnis,blanco stemmen,19
1842,Midden-Delfland,blanco stemmen,17
1731,Midden-Drenthe,blanco stemmen,13
815,Mill en Sint Hubert,blanco stemmen,9
265,Millingen aan de Rijn,blanco stemmen,5
1709,Moerdijk,blanco stemmen,18
1955,Montferland,blanco stemmen,22
335,Montfoort,blanco stemmen,11
944,Mook en Middelaar,blanco stemmen,12
424,Muiden,blanco stemmen,6
425,Naarden,blanco stemmen,13
1740,Neder-Betuwe,blanco stemmen,6
643,Nederlek,blanco stemmen,5
946,Nederweert,blanco stemmen,29
304,Neerijnen,blanco stemmen,3
356,Nieuwegein,blanco stemmen,58
569,Nieuwkoop,blanco stemmen,23
571,Nieuw-Lekkerland,blanco stemmen,4
267,Nijkerk,blanco stemmen,26
268,Nijmegen,blanco stemmen,201
1695,Noord-Beveland,blanco stemmen,10
1699,Noordenveld,blanco stemmen,24
171,Noordoostpolder,blanco stemmen,35
575,Noordwijk,blanco stemmen,40
576,Noordwijkerhout,blanco stemmen,24
820,Nuenen Gerwen en Nederwetten,blanco stemmen,22
302,Nunspeet,blanco stemmen,11
951,Nuth,blanco stemmen,24
579,Oegstgeest,blanco stemmen,20
823,Oirschot,blanco stemmen,19
824,Oisterwijk,blanco stemmen,20
1895,Oldambt,blanco stemmen,27
269,Oldebroek,blanco stemmen,10
173,Oldenzaal,blanco stemmen,40
1773,Olst-Wijhe,blanco stemmen,10
175,Ommen,blanco stemmen,14
881,Onderbanken,blanco stemmen,14
1586,Oost Gelre,blanco stemmen,17
826,Oosterhout,blanco stemmen,43
580,Oostflakkee,blanco stemmen,1
85,Ooststellingwerf,blanco stemmen,19
431,Oostzaan,blanco stemmen,3
432,Opmeer,blanco stemmen,14
86,Opsterland,blanco stemmen,12
828,Oss,blanco stemmen,108
584,Oud-Beijerland,blanco stemmen,19
1509,Oude IJsselstreek,blanco stemmen,33
437,Ouder-Amstel,blanco stemmen,18
644,Ouderkerk,blanco stemmen,7
589,Oudewater,blanco stemmen,8
1734,Overbetuwe,blanco stemmen,15
590,Papendrecht,blanco stemmen,37
1894,Peel en Maas,blanco stemmen,70
765,Pekela,blanco stemmen,17
1926,Pijnacker-Nootdorp,blanco stemmen,34
439,Purmerend,blanco stemmen,86
273,Putten,blanco stemmen,12
177,Raalte,blanco stemmen,41
703,Reimerswaal,blanco stemmen,17
274,Renkum,blanco stemmen,12
339,Renswoude,blanco stemmen,1
1667,Reusel-De Mierden,blanco stemmen,14
275,Rheden,blanco stemmen,29
340,Rhenen,blanco stemmen,9
597,Ridderkerk,blanco stemmen,31
196,Rijnwaarden,blanco stemmen,15
1672,Rijnwoude,blanco stemmen,20
1742,Rijssen-Holten,blanco stemmen,20
603,Rijswijk,blanco stemmen,79
1669,Roerdalen,blanco stemmen,33
957,Roermond,blanco stemmen,72
1674,Roosendaal,blanco stemmen,59
599,Rotterdam,blanco stemmen,745
277,Rozendaal,blanco stemmen,1
840,Rucphen,blanco stemmen,11
9003,Saba,blanco stemmen,2
441,Schagen,blanco stemmen,16
458,Schermer,blanco stemmen,4
279,Scherpenzeel,blanco stemmen,1
606,Schiedam,blanco stemmen,85
88,Schiermonnikoog,blanco stemmen,0
844,Schijndel,blanco stemmen,13
962,Schinnen,blanco stemmen,20
608,Schoonhoven,blanco stemmen,15
1676,Schouwen-Duiveland,blanco stemmen,39
518,'s-Gravenhage,blanco stemmen,645
796,'s-Hertogenbosch,blanco stemmen,146
965,Simpelveld,blanco stemmen,15
1702,Sint Anthonis,blanco stemmen,16
9002,Sint Eustatius,blanco stemmen,9
845,Sint-Michielsgestel,blanco stemmen,27
846,Sint-Oedenrode,blanco stemmen,22
1883,Sittard-Geleen,blanco stemmen,170
51,Skarsterlân,blanco stemmen,21
610,Sliedrecht,blanco stemmen,9
40,Slochteren,blanco stemmen,14
1714,Sluis,blanco stemmen,18
90,Smallingerland,blanco stemmen,59
342,Soest,blanco stemmen,32
847,Someren,blanco stemmen,22
848,Son en Breugel,blanco stemmen,23
612,Spijkenisse,blanco stemmen,88
37,Stadskanaal,blanco stemmen,19
180,Staphorst,blanco stemmen,6
532,Stede Broec,blanco stemmen,17
851,Steenbergen,blanco stemmen,25
1708,Steenwijkerland,blanco stemmen,33
971,Stein,blanco stemmen,33
1904,Stichtse Vecht,blanco stemmen,42
617,Strijen,blanco stemmen,5
1900,Súdwest-Fryslân,blanco stemmen,49
9,Ten Boer,blanco stemmen,3
715,Terneuzen,blanco stemmen,53
93,Terschelling,blanco stemmen,7
448,Texel,blanco stemmen,8
1525,Teylingen,blanco stemmen,33
716,Tholen,blanco stemmen,11
281,Tiel,blanco stemmen,30
855,Tilburg,blanco stemmen,219
183,Tubbergen,blanco stemmen,15
1700,Twenterand,blanco stemmen,19
1730,Tynaarlo,blanco stemmen,25
737,Tytsjerksteradiel,blanco stemmen,33
282,Ubbergen,blanco stemmen,4
856,Uden,blanco stemmen,43
450,Uitgeest,blanco stemmen,7
451,Uithoorn,blanco stemmen,19
184,Urk,blanco stemmen,9
344,Utrecht,blanco stemmen,448
1581,Utrechtse Heuvelrug,blanco stemmen,33
981,Vaals,blanco stemmen,8
994,Valkenburg aan de Geul,blanco stemmen,15
858,Valkenswaard,blanco stemmen,29
47,Veendam,blanco stemmen,20
345,Veenendaal,blanco stemmen,66
717,Veere,blanco stemmen,13
860,Veghel,blanco stemmen,28
861,Veldhoven,blanco stemmen,44
453,Velsen,blanco stemmen,60
983,Venlo,blanco stemmen,155
984,Venray,blanco stemmen,41
620,Vianen,blanco stemmen,24
622,Vlaardingen,blanco stemmen,67
48,Vlagtwedde,blanco stemmen,18
96,Vlieland,blanco stemmen,6
718,Vlissingen,blanco stemmen,32
623,Vlist,blanco stemmen,4
986,Voerendaal,blanco stemmen,14
626,Voorschoten,blanco stemmen,23
285,Voorst,blanco stemmen,15
865,Vught,blanco stemmen,19
866,Waalre,blanco stemmen,21
867,Waalwijk,blanco stemmen,47
627,Waddinxveen,blanco stemmen,19
289,Wageningen,blanco stemmen,44
629,Wassenaar,blanco stemmen,16
852,Waterland,blanco stemmen,13
988,Weert,blanco stemmen,67
457,Weesp,blanco stemmen,12
870,Werkendam,blanco stemmen,20
668,West Maas en Waal,blanco stemmen,11
1701,Westerveld,blanco stemmen,12
293,Westervoort,blanco stemmen,11
1783,Westland,blanco stemmen,125
98,Weststellingwerf,blanco stemmen,30
614,Westvoorne,blanco stemmen,8
189,Wierden,blanco stemmen,12
296,Wijchen,blanco stemmen,36
1696,Wijdemeren,blanco stemmen,12
352,Wijk bij Duurstede,blanco stemmen,20
53,Winsum,blanco stemmen,10
294,Winterswijk,blanco stemmen,32
873,Woensdrecht,blanco stemmen,14
632,Woerden,blanco stemmen,35
880,Wormerland,blanco stemmen,11
351,Woudenberg,blanco stemmen,3
874,Woudrichem,blanco stemmen,8
479,Zaanstad,blanco stemmen,120
297,Zaltbommel,blanco stemmen,18
473,Zandvoort,blanco stemmen,11
707,Zederik,blanco stemmen,4
478,Zeevang,blanco stemmen,6
50,Zeewolde,blanco stemmen,7
355,Zeist,blanco stemmen,46
299,Zevenaar,blanco stemmen,32
476,Zijpe,blanco stemmen,6
637,Zoetermeer,blanco stemmen,171
638,Zoeterwoude,blanco stemmen,9
56,Zuidhorn,blanco stemmen,18
1892,Zuidplas,blanco stemmen,30
879,Zundert,blanco stemmen,25
301,Zutphen,blanco stemmen,32
1896,Zwartewaterland,blanco stemmen,12
642,Zwijndrecht,blanco stemmen,46
193,Zwolle,blanco stemmen,167
1680,Aa en Hunze,Eligible Votes,16342
738,Aalburg,Eligible Votes,7611
358,Aalsmeer,Eligible Votes,17636
197,Aalten,Eligible Votes,15880
59,Achtkarspelen,Eligible Votes,15592
482,Alblasserdam,Eligible Votes,11025
613,Albrandswaard,Eligible Votes,14212
361,Alkmaar,Eligible Votes,54113
141,Almelo,Eligible Votes,37000
34,Almere,Eligible Votes,94652
484,Alphen aan den Rijn,Eligible Votes,41613
1723,Alphen-Chaam,Eligible Votes,5835
60,Ameland,Eligible Votes,3135
307,Amersfoort,Eligible Votes,84430
362,Amstelveen,Eligible Votes,46021
363,Amsterdam,Eligible Votes,389276
200,Apeldoorn,Eligible Votes,92002
3,Appingedam,Eligible Votes,6707
202,Arnhem,Eligible Votes,80366
106,Assen,Eligible Votes,38651
743,Asten,Eligible Votes,9816
744,Baarle-Nassau,Eligible Votes,3758
308,Baarn,Eligible Votes,14575
489,Barendrecht,Eligible Votes,26671
203,Barneveld,Eligible Votes,32589
5,Bedum,Eligible Votes,6529
888,Beek,Eligible Votes,9923
370,Beemster,Eligible Votes,5458
889,Beesel,Eligible Votes,7535
7,Bellingwedde,Eligible Votes,5538
491,Bergambacht,Eligible Votes,6169
1724,Bergeijk,Eligible Votes,10840
893,Bergen (L.),Eligible Votes,7388
373,Bergen (NH),Eligible Votes,19865
748,Bergen op Zoom,Eligible Votes,35201
1859,Berkelland,Eligible Votes,27523
1721,Bernheze,Eligible Votes,16834
568,Bernisse,Eligible Votes,7576
753,Best,Eligible Votes,16339
209,Beuningen,Eligible Votes,14994
375,Beverwijk,Eligible Votes,20699
585,Binnenmaas,Eligible Votes,17851
1728,Bladel,Eligible Votes,11182
376,Blaricum,Eligible Votes,5850
377,Bloemendaal,Eligible Votes,14296
